row_number,errors,data
11,"['Invalid phone number: 9925325117.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 847839.0, 'full_name': 'Gokul Varghese', 'email': 'zaina83@tiwari.net', 'phone_number': 9925325117.0, 'city': 'Pune', 'signup_date': '16-05-2023'}"
12,"['Invalid phone number: 9205613992.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 583064.0, 'full_name': 'Tarini Vyas', 'email': 'sakshambarman@chakraborty.com', 'phone_number': 9205613992.0, 'city': 'Ahmedabad', 'signup_date': '13-10-2024'}"
13,"['Invalid phone number: 9901804796.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 733533.0, 'full_name': 'Eshani Ramaswamy', 'email': 'gkapadia@hotmail.com', 'phone_number': 9901804796.0, 'city': 'Pune', 'signup_date': '09-11-2024'}"
14,"['Invalid phone number: 7999251911.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 584429.0, 'full_name': 'Badal Grewal', 'email': 'ohayer@hotmail.com', 'phone_number': 7999251911.0, 'city': 'Kolkata', 'signup_date': '22-02-2024'}"
15,"['Invalid phone number: 7394687208.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 269218.0, 'full_name': 'Shlok Gola', 'email': 'aliabatra@garde.com', 'phone_number': 7394687208.0, 'city': 'Ahmedabad', 'signup_date': '13-06-2023'}"
16,"['Invalid phone number: 8852639340.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 277847.0, 'full_name': 'Dhruv Raman', 'email': 'koshyyashvi@balakrishnan.com', 'phone_number': 8852639340.0, 'city': 'Mumbai', 'signup_date': '20-09-2023'}"
17,"['Invalid phone number: 8745916414.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 457035.0, 'full_name': 'Jhanvi Sehgal', 'email': 'darshitbose@sridhar.biz', 'phone_number': 8745916414.0, 'city': 'Delhi', 'signup_date': '24-03-2025'}"
18,"['Email is required', 'Invalid phone number: 7766959137.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 597401.0, 'full_name': 'Kiaan Bansal', 'email': '', 'phone_number': 7766959137.0, 'city': 'Delhi', 'signup_date': '20-03-2025'}"
19,"['Email is required', 'Invalid phone number: 7121386682.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 531065.0, 'full_name': 'Navya Agrawal', 'email': '', 'phone_number': 7121386682.0, 'city': 'Hyderabad', 'signup_date': '25-02-2025'}"
20,"['Invalid phone number: 8643563127.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 266733.0, 'full_name': 'Adah Kamdar', 'email': 'gokul03@gmail.com', 'phone_number': 8643563127.0, 'city': 'Mumbai', 'signup_date': '11-04-2025'}"
21,"['Invalid phone number: 7350316294.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 718874.0, 'full_name': 'Azad Andra', 'email': 'myrasagar@gmail.com', 'phone_number': 7350316294.0, 'city': 'Ahmedabad', 'signup_date': '28-03-2025'}"
22,"['Invalid phone number: 9234330853.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 397491.0, 'full_name': 'Ira Sawhney', 'email': 'nirvaantiwari@hotmail.com', 'phone_number': 9234330853.0, 'city': 'Pune', 'signup_date': '05-04-2025'}"
23,"['Invalid phone number: 8006314846.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 898837.0, 'full_name': 'Ivana Grover', 'email': 'aarav05@hotmail.com', 'phone_number': 8006314846.0, 'city': 'Hyderabad', 'signup_date': '19-06-2024'}"
24,"['Invalid phone number: 9038756159.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 628023.0, 'full_name': 'Indranil Andra', 'email': 'kismatgoda@thaman-subramaniam.org', 'phone_number': 9038756159.0, 'city': 'Mumbai', 'signup_date': '17-09-2023'}"
25,"['Invalid phone number: 7176932950.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 217981.0, 'full_name': 'Farhan Ravel', 'email': 'akarsh27@wadhwa.biz', 'phone_number': 7176932950.0, 'city': 'Chennai', 'signup_date': '09-04-2025'}"
26,"['Email is required', 'Invalid phone number: 8578254940.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 486172.0, 'full_name': 'Hansh Borde', 'email': '', 'phone_number': 8578254940.0, 'city': 'Kolkata', 'signup_date': '25-04-2024'}"
27,"['Invalid phone number: 9559381066.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 462199.0, 'full_name': 'Tara Dani', 'email': 'cbajaj@hotmail.com', 'phone_number': 9559381066.0, 'city': 'Delhi', 'signup_date': '11-04-2025'}"
28,"['Invalid phone number: 7444474733.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 249624.0, 'full_name': 'Biju Choudhary', 'email': 'bhatnagarsuhana@gmail.com', 'phone_number': 7444474733.0, 'city': 'Chennai', 'signup_date': '28-03-2025'}"
29,"['Invalid phone number: 9666390588.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 759139.0, 'full_name': 'Priyansh Sha', 'email': 'lavanya40@gmail.com', 'phone_number': 9666390588.0, 'city': 'Bangalore', 'signup_date': '08-03-2025'}"
30,"['Email is required', 'Invalid phone number: 7866106217.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 474993.0, 'full_name': 'Charvi Ahluwalia', 'email': '', 'phone_number': 7866106217.0, 'city': 'Pune', 'signup_date': '01-02-2024'}"
31,"['Invalid phone number: 9403455972.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 903347.0, 'full_name': 'Trisha Ghosh', 'email': 'aaryahi77@yahoo.com', 'phone_number': 9403455972.0, 'city': 'Delhi', 'signup_date': '13-02-2025'}"
32,"['Invalid phone number: 7534926256.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 595639.0, 'full_name': 'Armaan Sarkar', 'email': 'shraymaharaj@dewan.com', 'phone_number': 7534926256.0, 'city': 'Ahmedabad', 'signup_date': '04-10-2024'}"
33,"['Invalid phone number: 9352674462.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 760885.0, 'full_name': 'Prisha Borra', 'email': 'eraman@vala.com', 'phone_number': 9352674462.0, 'city': 'Kolkata', 'signup_date': '02-04-2025'}"
34,"['Email is required', 'Invalid phone number: 8620200747.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 643914.0, 'full_name': 'Kiara Golla', 'email': '', 'phone_number': 8620200747.0, 'city': 'Delhi', 'signup_date': '04-05-2024'}"
35,"['Email is required', 'Invalid phone number: 8003140074.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 890029.0, 'full_name': 'Taran Loyal', 'email': '', 'phone_number': 8003140074.0, 'city': 'Ahmedabad', 'signup_date': '20-03-2025'}"
36,"['Invalid phone number: 8762147286.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 156523.0, 'full_name': 'Miraan Lata', 'email': 'lhans@yahoo.com', 'phone_number': 8762147286.0, 'city': 'Mumbai', 'signup_date': '03-05-2024'}"
37,"['Invalid phone number: 9372814066.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 305198.0, 'full_name': 'Hazel Solanki', 'email': 'shalv93@hans.org', 'phone_number': 9372814066.0, 'city': 'Pune', 'signup_date': '23-09-2023'}"
38,"['Invalid phone number: 7962001833.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 370147.0, 'full_name': 'Parinaaz Sheth', 'email': 'qbal@gmail.com', 'phone_number': 7962001833.0, 'city': 'Pune', 'signup_date': '12-04-2025'}"
39,"['Invalid phone number: 9040520243.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 285490.0, 'full_name': 'Lakshay Loke', 'email': 'lcheema@sharaf.com', 'phone_number': 9040520243.0, 'city': 'Bangalore', 'signup_date': '14-04-2025'}"
40,"['Email is required', 'Invalid phone number: 8546090013.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 858599.0, 'full_name': 'Rasha Saxena', 'email': '', 'phone_number': 8546090013.0, 'city': 'Ahmedabad', 'signup_date': '07-09-2023'}"
41,"['Invalid phone number: 9243605829.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 712034.0, 'full_name': 'Divyansh Bhasin', 'email': 'jivikavenkatesh@gmail.com', 'phone_number': 9243605829.0, 'city': 'Delhi', 'signup_date': '19-03-2025'}"
42,"['Invalid phone number: 7253389892.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 440442.0, 'full_name': 'Tushar Chokshi', 'email': 'dhanush65@dhillon.org', 'phone_number': 7253389892.0, 'city': 'Bangalore', 'signup_date': '19-12-2024'}"
43,"['Email is required', 'Invalid phone number: 9670550456.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 410423.0, 'full_name': 'Vihaan Hayre', 'email': '', 'phone_number': 9670550456.0, 'city': 'Bangalore', 'signup_date': '21-09-2023'}"
44,"['Invalid phone number: 8676320773.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 498577.0, 'full_name': 'Miraan Talwar', 'email': 'yhayer@khurana.com', 'phone_number': 8676320773.0, 'city': 'Hyderabad', 'signup_date': '20-04-2023'}"
45,"['Invalid phone number: 7719454656.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 765240.0, 'full_name': 'Zaina Cheema', 'email': 'joshizoya@yahoo.com', 'phone_number': 7719454656.0, 'city': 'Pune', 'signup_date': '31-03-2025'}"
46,"['Email is required', 'Invalid phone number: 9929530775.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 143476.0, 'full_name': 'Pari Dutta', 'email': '', 'phone_number': 9929530775.0, 'city': 'Hyderabad', 'signup_date': '04-12-2023'}"
47,"['Invalid phone number: 9229991747.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 405251.0, 'full_name': 'Samarth Kumar', 'email': 'dasguptatejas@hotmail.com', 'phone_number': 9229991747.0, 'city': 'Pune', 'signup_date': '31-03-2025'}"
48,"['Invalid phone number: 9848435858.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 678221.0, 'full_name': 'Umang Varughese', 'email': 'balihazel@rajan.com', 'phone_number': 9848435858.0, 'city': 'Hyderabad', 'signup_date': '24-06-2024'}"
49,"['Invalid phone number: 8043541813.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 552159.0, 'full_name': 'Prisha Venkataraman', 'email': 'srivastavahiran@thaker.com', 'phone_number': 8043541813.0, 'city': 'Ahmedabad', 'signup_date': '02-05-2024'}"
50,"['Email is required', 'Invalid phone number: 9387224925.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 136596.0, 'full_name': 'Onkar Ahuja', 'email': '', 'phone_number': 9387224925.0, 'city': 'Hyderabad', 'signup_date': '28-03-2025'}"
51,"['Invalid phone number: 7576253427.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 815362.0, 'full_name': 'Aaryahi Wali', 'email': 'nehmatsalvi@hotmail.com', 'phone_number': 7576253427.0, 'city': 'Hyderabad', 'signup_date': '05-07-2023'}"
52,"['Invalid phone number: 9838248510.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 530489.0, 'full_name': 'Alia Deo', 'email': 'kartikgoswami@sule-divan.info', 'phone_number': 9838248510.0, 'city': 'Delhi', 'signup_date': '14-03-2024'}"
53,"['Invalid phone number: 9773380239.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 382139.0, 'full_name': 'Khushi Anne', 'email': 'rajagopaleva@gmail.com', 'phone_number': 9773380239.0, 'city': 'Chennai', 'signup_date': '18-06-2023'}"
54,"['Email is required', 'Invalid phone number: 9119264476.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 493386.0, 'full_name': 'Nitya Bawa', 'email': '', 'phone_number': 9119264476.0, 'city': 'Hyderabad', 'signup_date': '08-04-2025'}"
55,"['Email is required', 'Invalid phone number: 8881824103.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 863233.0, 'full_name': 'Indrans Gade', 'email': '', 'phone_number': 8881824103.0, 'city': 'Pune', 'signup_date': '11-03-2024'}"
56,"['Email is required', 'Invalid phone number: 9012500763.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 318287.0, 'full_name': 'Jiya Mann', 'email': '', 'phone_number': 9012500763.0, 'city': 'Delhi', 'signup_date': '22-03-2025'}"
57,"['Invalid phone number: 7669027887.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 463727.0, 'full_name': 'Zain Rattan', 'email': 'arnavgara@som-chaudhry.com', 'phone_number': 7669027887.0, 'city': 'Pune', 'signup_date': '30-03-2024'}"
58,"['Invalid phone number: 8580016724.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 240679.0, 'full_name': 'Ahana  Kumar', 'email': 'chirag63@sabharwal.com', 'phone_number': 8580016724.0, 'city': 'Mumbai', 'signup_date': '18-03-2025'}"
59,"['Invalid phone number: 7376102852.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 238575.0, 'full_name': 'Damini Bhavsar', 'email': 'samarth69@jaggi-sekhon.com', 'phone_number': 7376102852.0, 'city': 'Pune', 'signup_date': '22-11-2024'}"
60,"['Invalid phone number: 9322906821.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 215656.0, 'full_name': 'Mamooty Yadav', 'email': 'contractorkeya@hotmail.com', 'phone_number': 9322906821.0, 'city': 'Hyderabad', 'signup_date': '18-08-2024'}"
61,"['Invalid phone number: 9279939004.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 742912.0, 'full_name': 'Jivin Walla', 'email': 'advikwason@ramakrishnan.com', 'phone_number': 9279939004.0, 'city': 'Ahmedabad', 'signup_date': '13-06-2023'}"
62,"['Invalid phone number: 7336225326.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 474303.0, 'full_name': 'Akarsh Doctor', 'email': 'samashaan@lalla.com', 'phone_number': 7336225326.0, 'city': 'Ahmedabad', 'signup_date': '01-01-2025'}"
63,"['Invalid phone number: 8801066317.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 273809.0, 'full_name': 'Inaaya  Mahal', 'email': 'aarush69@srinivasan.org', 'phone_number': 8801066317.0, 'city': 'Kolkata', 'signup_date': '10-09-2023'}"
64,"['Invalid phone number: 8027015672.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 132742.0, 'full_name': 'Siya Shankar', 'email': 'omaharaj@grover.com', 'phone_number': 8027015672.0, 'city': 'Mumbai', 'signup_date': '04-02-2024'}"
65,"['Email is required', 'Invalid phone number: 7658759903.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 551493.0, 'full_name': 'Samarth Singhal', 'email': '', 'phone_number': 7658759903.0, 'city': 'Ahmedabad', 'signup_date': '23-03-2025'}"
66,"['Invalid phone number: 8195964394.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 704709.0, 'full_name': 'Advika Chauhan', 'email': 'yuvraj-singh@doctor-sachdev.com', 'phone_number': 8195964394.0, 'city': 'Hyderabad', 'signup_date': '28-05-2024'}"
67,"['Email is required', 'Invalid phone number: 7980568991.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 517749.0, 'full_name': 'Devansh Sen', 'email': '', 'phone_number': 7980568991.0, 'city': 'Chennai', 'signup_date': '02-10-2023'}"
68,"['Invalid phone number: 7664797324.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 586035.0, 'full_name': 'Baiju Dhaliwal', 'email': 'somkimaya@virk-rajan.com', 'phone_number': 7664797324.0, 'city': 'Kolkata', 'signup_date': '08-11-2024'}"
69,"['Invalid phone number: 7271864211.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 179868.0, 'full_name': 'Yuvaan Dutt', 'email': 'raunak32@dixit.com', 'phone_number': 7271864211.0, 'city': 'Ahmedabad', 'signup_date': '29-09-2024'}"
70,"['Invalid phone number: 7104332746.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 773075.0, 'full_name': 'Navya Dada', 'email': 'esuresh@dada.com', 'phone_number': 7104332746.0, 'city': 'Delhi', 'signup_date': '28-07-2023'}"
71,"['Invalid phone number: 7608772410.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 845296.0, 'full_name': 'Aarna Devan', 'email': 'uthkarsh19@gmail.com', 'phone_number': 7608772410.0, 'city': 'Mumbai', 'signup_date': '19-03-2025'}"
72,"['Invalid phone number: 8064637125.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 841380.0, 'full_name': 'Rati Devi', 'email': 'bchar@sama.com', 'phone_number': 8064637125.0, 'city': 'Mumbai', 'signup_date': '25-11-2023'}"
73,"['Email is required', 'Invalid phone number: 8650542480.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 813895.0, 'full_name': 'Devansh Sethi', 'email': '', 'phone_number': 8650542480.0, 'city': 'Delhi', 'signup_date': '04-05-2023'}"
74,"['Email is required', 'Invalid phone number: 9646460159.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 181605.0, 'full_name': 'Rati Balay', 'email': '', 'phone_number': 9646460159.0, 'city': 'Hyderabad', 'signup_date': '16-12-2023'}"
75,"['Invalid phone number: 8454899242.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 915577.0, 'full_name': 'Aradhya Upadhyay', 'email': 'mahikadin@yahoo.com', 'phone_number': 8454899242.0, 'city': 'Mumbai', 'signup_date': '17-03-2025'}"
